Lenguaje,Inteligencia_Artificial,Machine_Learning,Ciencia_de_Datos,Desarrollo_Web,Desarrollo_Empresarial,Desarrollo_MÃ³vil,Desarrollo_de_Juegos,Sistemas_Embebidos,Realidad_Virtual,Dificultad
JavaScript,0.6,0.5,0.4,0.8,0.6,0.7,0.4,0.3,0.2,0.5
Python,0.8,0.9,0.9,0.7,0.7,0.8,0.6,0.4,0.5,0.3
Java,0.7,0.7,0.6,0.7,0.8,0.6,0.5,0.6,0.3,0.6
C++,0.5,0.4,0.3,0.4,0.6,0.5,0.7,0.8,0.4,0.7
Ruby,0.4,0.3,0.3,0.5,0.4,0.4,0.6,0.5,0.2,0.7
PHP,0.3,0.2,0.2,0.6,0.5,0.6,0.4,0.3,0.3,0.8
Swift,0.6,0.5,0.4,0.7,0.6,0.8,0.6,0.4,0.7,0.5
Kotlin,0.7,0.6,0.6,0.6,0.6,0.8,0.6,0.5,0.5,0.4
TypeScript,0.6,0.6,0.5,0.7,0.7,0.7,0.6,0.4,0.6,0.4
Go,0.5,0.5,0.4,0.6,0.7,0.6,0.6,0.7,0.4,0.6
Scala,0.7,0.7,0.8,0.6,0.8,0.5,0.5,0.4,0.3,0.7
C#,0.6,0.6,0.5,0.7,0.8,0.6,0.5,0.5,0.3,0.6
Rust,0.5,0.4,0.4,0.5,0.6,0.5,0.7,0.8,0.4,0.7
Dart,0.4,0.3,0.3,0.6,0.6,0.7,0.5,0.3,0.6,0.6
R,0.6,0.7,0.8,0.4,0.5,0.4,0.3,0.2,0.2,0.8
Perl,0.3,0.2,0.2,0.4,0.5,0.4,0.4,0.4,0.3,0.8
Lua,0.2,0.1,0.1,0.3,0.4,0.3,0.3,0.5,0.2,0.9
Julia,0.5,0.6,0.7,0.4,0.4,0.3,0.2,0.1,0.1,0.8
Groovy,0.4,0.4,0.4,0.5,0.6,0.5,0.4,0.3,0.3,0.6
Objective-C,0.6,0.5,0.5,0.6,0.7,0.7,0.5,0.4,0.6,0.5
Erlang,0.4,0.3,0.3,0.4,0.5,0.3,0.4,0.6,0.5,0.7
Elixir,0.5,0.4,0.4,0.5,0.6,0.4,0.5,0.7,0.6,0.6
Clojure,0.4,0.5,0.6,0.4,0.4,0.3,0.3,0.2,0.2,0.7
Haskell,0.5,0.6,0.7,0.3,0.4,0.2,0.1,0.1,0.1,0.8
